sample_id,bases,number_of_reads,coverage,avg_read_length,insert_size_metrics,platform,instrument_model,library_source,library_strategy,library_layout,seqencing center
BS_007JTNB8,113334540210,755369698,63.533758,150.038505,373,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_00FD2KMP,17279523226,58974482,,293,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,CHOP DGD
BS_00QJE3E5,58156163008,387408981,32.724145,150.115681,389,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_00TRPEQX,134769351537,898649748,69.80791,149.968719,380,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_00ZND930,64188415500,427922770,33.478049,150,322,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_014EVM2D,32675108250,130700433,,250,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_01DQH017,100133895398,667512114,55.782865,150.010604,372,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_01Y5F4PN,115964429384,773236693,64.873605,149.972745,348,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_02NZT8CE,30727313520,112143480,,274,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_02QV7ZWP,24795114180,245496180,200,101,147,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_02W5H7K5,107132280019,713378355,60.150461,150.175961,368,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_02YBZSBY,116565754942,776577121,65.220344,150.101969,364,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_02ZSVZCB,155445576702,1036810451,88.449949,149.926707,379,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_03FT4S8B,73945191312,271857321,,272,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_03KCP14P,63278411555,421594017,36.41355,150.093239,400,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_03SSN1N2,106707130152,712199812,56.204004,149.827518,318,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_042DVDQM,117402234984,784215183,59.080145,149.706659,288,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0448A413,25910406240,107960026,,240,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_044XZ8ST,42057546358,155193898,,271,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_04B8X54S,101233411103,674679582,54.531874,150.04665,363,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_052PZFMK,12022259600,60111298,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_05CHNS17,46617014600,461554600,200,101,175,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,Ashion
BS_05H4Y3ZF,64477931826,429451359,34.890376,150.140244,360,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_05S9WJW6,86178355749,574622946,47.50442,149.973746,352,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_060QB7XB,77180683621,513910656,44.073995,150.183077,378,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_063ERW0R,35659368108,130620396,,273,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_06AMMCXR,37833231536,139092763,,272,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_06GEF6DB,124624222598,830574305,70.136231,150.045844,335,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_06GPPDHZ,112804711285,751077010,64.63372,150.190606,429,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_06XH7EVF,25982306520,104767365,,248,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0754AZX0,62542358176,416108507,34.768564,150.303003,418,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_07ANYSYQ,26977349904,109664024,,246,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_07NXQC7P,134930477056,898593398,73.946959,150.157432,355,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_090GV72Q,131578666771,875827670,70.759134,150.233512,393,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_09R7GDA7,11117651200,55588256,,200,,ILLUMINA,Illumina HiSeq 2500,TRANSCRIPTOMIC,RNA-Seq,paired-end,BGI@CHOP Genome Center
BS_09Z7TC35,44664202764,166657473,,268,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0A99GJGD,70906409622,471875967,38.834726,150.264931,390,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0AK4F99X,175905370589,1171172139,98.837496,150.196,395,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0ATJ22QA,134012184583,891797426,71.399833,150.272002,418,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0B2KNG4A,71167640634,473501841,38.856595,150.300663,403,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0BXY0F9N,32527705112,121372034,,268,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0C7VZC0A,41411042910,153374233,,270,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0C83MQ6C,73832582454,491625473,39.932214,150.180547,386,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0DKPGQWD,124068489474,827156570,67.623784,149.99396,334,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0DVXQN0X,11868190638,117506838,189,101,159,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,The Translational Genomics Research Institute
BS_0EN5R1AP,117956064450,786373763,65.290216,150,368,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_0FE1EFV8,66819152113,444585554,37.630819,150.295374,391,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0FQKT8EY,118178240147,787142780,66.664401,150.13571,388,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0GDJQANN,34892456694,132670938,,263,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0HW7W7SD,27989684568,104050872,,269,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0J57HJ1S,111426931350,742846209,51.020838,150,270,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WGS,paired-end,Novogene
BS_0J5GC803,146024526155,972944293,70.219474,150.085187,375,ILLUMINA,"
HiSeq X Ten",GENOMIC,WGS,paired-end,NantOmics
BS_0J5MCBZV,247914968961,1653693046,66.271982,149.915953,312,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0J9SHHSC,61674772368,233616562,,264,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0JS89ADT,64379120443,428541596,35.604519,150.228405,386,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0KKH9VKP,45578232113,303611977,26.291196,150.120007,407,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0MRKTX2B,59220751312,394620003,32.987254,150.070323,347,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0N50PRC8,10263606163,101619863,163,101,179,ILLUMINA,Illumina NovaSeq 6000,GENOMIC,WXS,paired-end,The Translational Genomics Research Institute
BS_0NC1NQ01,52625692350,350837949,24.899541,150,318,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_0P2FRMSA,64013325263,426559654,36.91654,150.06887,414,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0P3S5YJQ,50678034601,337154943,29.163566,150.310816,406,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0PB4PTHT,61019189400,406794596,34.024006,150,346,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,Genomic Clinical Core at Sidra Medical and Research Center
BS_0Q8G4N8H,128346140486,855114887,65.49096,150.092277,333,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0QC2QX0P,45447975184,302734624,23.676006,150.124801,396,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0QEBZX3M,125097515288,832872938,68.293084,150.2,377,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0QP42DN4,57838757526,384714345,33.378636,150.342087,399,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0QYS36NR,26921432706,102362862,,263,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0R4R9C2K,78035022819,522982049,37.513018,149.211666,316,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0RF0EZTV,23131935666,88628106,,261,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0RF0G9SQ,133885539957,895857514,69.850394,149.449592,294,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0RQ4P069,30538875640,117457214,,260,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
BS_0RVVY4PS,54979230015,365693349,32.185243,150.342439,429,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0S617SMM,161768468830,1078584192,88.508929,149.982236,391,ILLUMINA,HiSeq X Ten,GENOMIC,WGS,paired-end,NantOmics
BS_0SCXXM6N,27483461416,108202604,,254,,ILLUMINA,HiSeq X Ten,TRANSCRIPTOMIC,RNA-Seq,paired-end,NantOmics
